https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GBP,Volume ETH
1564617600,2019-08-01 00:00:00,ETH/GBP,179.49,179.85,175.4,179.03,10699.75,60.51
1564531200,2019-07-31 00:00:00,ETH/GBP,173.01,179.49,173.01,179.49,19606.18,110.79
1564444800,2019-07-30 00:00:00,ETH/GBP,172.63,176.0,167.55,173.01,8892.79,51.61
1564358400,2019-07-29 00:00:00,ETH/GBP,170.35,173.66,169.17,172.63,4655.11,27.0
1564272000,2019-07-28 00:00:00,ETH/GBP,166.7,171.8,160.01,170.35,90012.68,549.77
1564185600,2019-07-27 00:00:00,ETH/GBP,176.0,180.42,164.88,166.7,56030.6,325.81
1564099200,2019-07-26 00:00:00,ETH/GBP,177.25,177.75,171.65,176.0,14028.0,80.58
1564012800,2019-07-25 00:00:00,ETH/GBP,173.86,180.18,173.73,177.25,15987.8,89.59
1563926400,2019-07-24 00:00:00,ETH/GBP,171.13,174.71,162.98,173.86,37982.71,227.01
1563840000,2019-07-23 00:00:00,ETH/GBP,173.85,176.18,168.3,171.13,39157.18,230.04
1563753600,2019-07-22 00:00:00,ETH/GBP,178.68,180.8,170.0,173.85,10250.89,59.52
1563667200,2019-07-21 00:00:00,ETH/GBP,182.18,182.18,173.96,178.68,12140.57,67.86
1563580800,2019-07-20 00:00:00,ETH/GBP,176.41,187.2,176.41,182.18,23713.48,129.68
1563494400,2019-07-19 00:00:00,ETH/GBP,181.04,181.04,170.56,176.41,63707.0,360.6
1563408000,2019-07-18 00:00:00,ETH/GBP,172.49,182.35,166.13,181.04,152885.74,877.58
1563321600,2019-07-17 00:00:00,ETH/GBP,160.58,176.36,155.14,172.49,56250.24,338.09
1563235200,2019-07-16 00:00:00,ETH/GBP,182.13,185.99,153.79,160.58,386082.4,2360.52
1563148800,2019-07-15 00:00:00,ETH/GBP,179.01,187.18,162.54,182.13,311525.76,1781.44
1563062400,2019-07-14 00:00:00,ETH/GBP,212.61,213.27,177.85,179.01,353837.26,1819.48
1562976000,2019-07-13 00:00:00,ETH/GBP,218.79,218.79,207.6,212.61,89630.69,425.06
1562889600,2019-07-12 00:00:00,ETH/GBP,213.95,221.78,213.22,218.79,8404.48,38.48
1562803200,2019-07-11 00:00:00,ETH/GBP,230.01,230.28,208.59,213.95,78743.39,367.7
1562716800,2019-07-10 00:00:00,ETH/GBP,246.04,252.36,223.22,230.01,310878.11,1336.12
1562630400,2019-07-09 00:00:00,ETH/GBP,250.44,253.43,243.27,246.04,66247.22,265.77
1562544000,2019-07-08 00:00:00,ETH/GBP,246.88,250.89,242.35,250.44,84804.26,342.05
1562457600,2019-07-07 00:00:00,ETH/GBP,230.87,247.84,227.39,246.88,15040.72,62.36
1562371200,2019-07-06 00:00:00,ETH/GBP,229.05,238.06,229.05,230.87,5796.86,24.72
1562284800,2019-07-05 00:00:00,ETH/GBP,224.48,235.22,224.48,229.05,15499.39,67.14
1562198400,2019-07-04 00:00:00,ETH/GBP,240.42,240.42,224.47,224.48,40805.12,175.02
