https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume ETH
1568937600,2019-09-20 00:00:00,ETH/EUR,200.44,201.6,193.0,198.46,597459.32,3033.14
1568851200,2019-09-19 00:00:00,ETH/EUR,190.99,203.26,183.34,200.44,1713070.36,8819.74
1568764800,2019-09-18 00:00:00,ETH/EUR,188.31,197.14,188.26,190.99,1626074.58,8422.34
1568678400,2019-09-17 00:00:00,ETH/EUR,179.85,194.88,178.6,188.31,1158463.56,6214.77
1568592000,2019-09-16 00:00:00,ETH/EUR,171.12,182.44,171.12,179.85,1845039.93,10440.34
1568505600,2019-09-15 00:00:00,ETH/EUR,169.5,172.22,167.13,171.12,477241.81,2800.09
1568419200,2019-09-14 00:00:00,ETH/EUR,163.21,170.06,161.74,169.5,821285.6,4991.16
1568332800,2019-09-13 00:00:00,ETH/EUR,163.95,164.61,160.79,163.21,351207.93,2164.16
1568246400,2019-09-12 00:00:00,ETH/EUR,162.13,165.43,160.77,163.95,737845.93,4517.25
1568160000,2019-09-11 00:00:00,ETH/EUR,163.21,165.56,158.8,162.13,496182.8,3066.35
1568073600,2019-09-10 00:00:00,ETH/EUR,163.65,167.07,159.33,163.21,726241.25,4476.52
1567987200,2019-09-09 00:00:00,ETH/EUR,164.66,169.15,160.0,163.65,760878.14,4660.54
1567900800,2019-09-08 00:00:00,ETH/EUR,160.11,166.09,159.16,164.66,608584.33,3724.21
1567814400,2019-09-07 00:00:00,ETH/EUR,152.41,162.83,151.46,160.11,846628.25,5353.5
1567728000,2019-09-06 00:00:00,ETH/EUR,157.7,161.87,149.92,152.41,1293310.84,8318.71
1567641600,2019-09-05 00:00:00,ETH/EUR,158.6,159.44,153.63,157.7,493870.44,3155.83
1567555200,2019-09-04 00:00:00,ETH/EUR,163.7,164.65,157.41,158.6,487504.13,3027.68
1567468800,2019-09-03 00:00:00,ETH/EUR,163.15,167.05,158.71,163.7,1303246.92,7951.71
1567382400,2019-09-02 00:00:00,ETH/EUR,155.77,165.64,155.24,163.15,1089055.9,6797.16
1567296000,2019-09-01 00:00:00,ETH/EUR,156.28,158.02,152.89,155.77,263172.97,1695.1
1567209600,2019-08-31 00:00:00,ETH/EUR,153.15,159.27,150.89,156.28,380103.73,2457.72
1567123200,2019-08-30 00:00:00,ETH/EUR,152.94,154.97,150.31,153.15,392148.69,2557.79
1567036800,2019-08-29 00:00:00,ETH/EUR,156.34,156.98,148.13,152.94,835589.95,5478.09
1566950400,2019-08-28 00:00:00,ETH/EUR,168.97,170.18,149.78,156.34,1600765.48,10136.02
1566864000,2019-08-27 00:00:00,ETH/EUR,170.22,170.46,166.34,168.97,448188.6,2666.32
1566777600,2019-08-26 00:00:00,ETH/EUR,167.25,174.26,167.25,170.22,1350236.69,7914.43
1566691200,2019-08-25 00:00:00,ETH/EUR,169.95,171.72,164.23,167.25,749296.47,4482.54
1566604800,2019-08-24 00:00:00,ETH/EUR,173.35,173.35,165.65,169.95,740114.47,4397.27
1566518400,2019-08-23 00:00:00,ETH/EUR,172.03,177.54,170.6,173.35,976348.7,5618.97
1566432000,2019-08-22 00:00:00,ETH/EUR,169.2,176.35,165.31,172.03,722515.66,4210.18
