https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume ETH
1689292800000,2023-07-14 00:00:00,ETH/UST,2004.5,2028.3,1898.6,1933.7,1772129.393257166,916.44484318
1689206400000,2023-07-13 00:00:00,ETH/UST,1872.5,2012.9,1863.2,2005.3,3858295.802185187,1924.04917079
1689120000000,2023-07-12 00:00:00,ETH/UST,1878.5,1901.5,1864.5,1872.2,1146981.96604497,612.63858885
1689033600000,2023-07-11 00:00:00,ETH/UST,1880.7,1890.4,1862.7,1878.2,1147210.830333136,610.80333848
1688947200000,2023-07-10 00:00:00,ETH/UST,1862.9,1904.8,1846.9,1880.6,1906784.7406086859,1013.92360981
1688860800000,2023-07-09 00:00:00,ETH/UST,1865.7,1878.9,1856.5,1863.0,1927783.36736766,1034.77368082
1688774400000,2023-07-08 00:00:00,ETH/UST,1870.2,1872.9,1843.7,1864.9,1587030.8098474122,851.00048788
1688688000000,2023-07-07 00:00:00,ETH/UST,1846.3,1877.2,1826.2,1869.2,4830600.231969948,2584.31426919
1688601600000,2023-07-06 00:00:00,ETH/UST,1909.3,1957.1,1846.7,1846.7,1880981.941590907,1018.56389321
1688515200000,2023-07-05 00:00:00,ETH/UST,1935.8,1942.4,1895.3,1910.8,1384048.449484248,724.32931206
1688428800000,2023-07-04 00:00:00,ETH/UST,1955.4,1966.2,1932.2,1935.6,916483.684567092,473.48816107
1688342400000,2023-07-03 00:00:00,ETH/UST,1938.3,1976.0,1934.9,1954.7,5365972.073614768,2745.16400144
1688256000000,2023-07-02 00:00:00,ETH/UST,1924.2,1960.5,1887.6,1937.6,2825803.8622452803,1458.4041403
1688169600000,2023-07-01 00:00:00,ETH/UST,1934.8,1943.7,1912.3,1924.3,1957308.345098841,1017.15342987
1688083200000,2023-06-30 00:00:00,ETH/UST,1851.6,1946.5,1827.0,1933.4,5713223.34276834,2955.0136251
1687996800000,2023-06-29 00:00:00,ETH/UST,1828.2,1879.6,1827.9,1852.9,532003.6365574771,287.11945413
1687910400000,2023-06-28 00:00:00,ETH/UST,1888.9,1889.0,1817.2,1828.1,1192650.553291114,652.39896794
1687824000000,2023-06-27 00:00:00,ETH/UST,1858.8,1911.6,1855.2,1888.8,1278110.753643264,676.67871328
1687737600000,2023-06-26 00:00:00,ETH/UST,1898.9,1908.0,1837.9,1859.7,1856975.93319849,998.5352117
1687651200000,2023-06-25 00:00:00,ETH/UST,1875.0,1929.4,1869.4,1898.3,1284094.182912458,676.44428326
1687564800000,2023-06-24 00:00:00,ETH/UST,1890.5,1905.0,1865.8,1875.9,1423871.117821542,759.03359338
1687478400000,2023-06-23 00:00:00,ETH/UST,1872.6,1935.9,1862.1,1892.4,3309854.277484224,1749.02466576
1687392000000,2023-06-22 00:00:00,ETH/UST,1889.6,1932.0,1866.8,1872.4,3014761.3286784403,1610.1053881
1687305600000,2023-06-21 00:00:00,ETH/UST,1792.6,1901.2,1788.0,1890.2,5756970.98451215,3045.69409825
1687219200000,2023-06-20 00:00:00,ETH/UST,1736.2,1795.5,1715.0,1792.9,1915276.2168953964,1068.2560192400001
1687132800000,2023-06-19 00:00:00,ETH/UST,1721.0,1750.0,1701.3,1737.4,1018981.1970698921,586.49775358
1687046400000,2023-06-18 00:00:00,ETH/UST,1727.6,1747.3,1713.5,1721.1,2391751.321924041,1389.66435531
1686960000000,2023-06-17 00:00:00,ETH/UST,1718.1,1771.7,1715.5,1727.4,6750330.594632455,3907.79819071
1686873600000,2023-06-16 00:00:00,ETH/UST,1664.6,1727.9,1650.5,1717.8,4780043.968657398,2782.65453991
1686787200000,2023-06-15 00:00:00,ETH/UST,1650.8,1680.2,1627.5,1666.6,3271726.514254458,1963.11443313
1686700800000,2023-06-14 00:00:00,ETH/UST,1740.6,1749.3,1629.4,1650.5,3569564.438819685,2162.71701837
1686614400000,2023-06-13 00:00:00,ETH/UST,1742.9,1765.7,1716.4,1739.3,4729342.006639549,2719.10654093
1686528000000,2023-06-12 00:00:00,ETH/UST,1752.5,1758.3,1720.9,1740.7,3767531.992947047,2164.37754521
1686441600000,2023-06-11 00:00:00,ETH/UST,1750.7,1777.6,1736.8,1752.6,2414608.595442696,1377.72942796
1686355200000,2023-06-10 00:00:00,ETH/UST,1840.6,1844.1,1716.7,1751.7,11105908.387176404,6340.07443465
1686268800000,2023-06-09 00:00:00,ETH/UST,1845.7,1854.9,1828.5,1840.8,1890275.938371288,1026.87741111
1686182400000,2023-06-08 00:00:00,ETH/UST,1831.9,1860.1,1829.4,1845.6,2637032.9736329517,1428.82150717
1686096000000,2023-06-07 00:00:00,ETH/UST,1884.1,1896.4,1821.6,1831.9,5331082.378937078,2910.13831483
1686009600000,2023-06-06 00:00:00,ETH/UST,1810.9,1897.2,1797.5,1884.0,5846513.92200252,3103.24518153
1685923200000,2023-06-05 00:00:00,ETH/UST,1888.0,1890.0,1777.8,1809.7,5821597.262677031,3216.88526423
1685836800000,2023-06-04 00:00:00,ETH/UST,1891.7,1914.1,1884.9,1890.0,674553.6561582,356.90669638
1685750400000,2023-06-03 00:00:00,ETH/UST,1907.1,1908.0,1882.8,1892.3,470186.246402487,248.47341669
1685664000000,2023-06-02 00:00:00,ETH/UST,1861.8,1910.0,1848.0,1906.7,5812593.859106174,3048.50991719
1685577600000,2023-06-01 00:00:00,ETH/UST,1873.7,1888.5,1839.2,1861.5,1079198.847965055,579.74689657
1685491200000,2023-05-31 00:00:00,ETH/UST,1901.6,1906.6,1847.4,1873.5,1678866.76511541,896.11249806
1685404800000,2023-05-30 00:00:00,ETH/UST,1892.8,1916.5,1881.5,1900.7,3250265.872795843,1710.03623549
1685318400000,2023-05-29 00:00:00,ETH/UST,1908.9,1927.1,1875.0,1892.7,1240241.524535133,655.27633779
1685232000000,2023-05-28 00:00:00,ETH/UST,1829.9,1923.4,1823.5,1908.7,3143357.4182886793,1646.85776617
1685145600000,2023-05-27 00:00:00,ETH/UST,1828.4,1836.5,1812.4,1830.4,342372.532774272,187.04793093
1685059200000,2023-05-26 00:00:00,ETH/UST,1805.7,1863.1,1797.6,1828.0,1993694.9750780798,1090.6427653599999
